metric,value,unit
典型日总用电量,558.72,MWh
其中：常规电负荷用电量,60.72,MWh
其中：制氢制氨工艺用电量,498.0,MWh
风电发电量,245.048,MWh
光伏发电量,358.4,MWh
新能源发电量,603.448,MWh
网购电量,172.04379999999998,MWh
上网电量,216.77179999999998,MWh
新能源自发自用电量（物理/政策口径）,386.6762,MWh
新能源自发自用电量（由负荷侧校验）,386.67620000000005,MWh
题面括号公式复核量：总用电量-上网电量-网购电量,169.90440000000007,MWh
新能源自发自用比例（物理/政策口径）,0.6407779957842267,ratio
总用电量绿电比例,0.692075100229095,ratio
新能源上网电量比例,0.3592220042157733,ratio
题面括号公式比例复核,0.2815559915684534,ratio
新能源自发自用比例是否达标,1.0,bool
总用电量绿电比例是否达标,1.0,bool
新能源上网电量比例是否达标,0.0,bool
日产氨量,36.0,t
风电成本,36757.2,yuan
光伏成本,43008.0,yuan
购电成本,97721.02512,yuan
碱性电解槽运维成本,24000.0,yuan
PEM电解槽运维成本,36000.0,yuan
合成氨装置运维成本,36.0,yuan
余电上网收益,81918.06322,yuan
日总成本（扣除售电收益后）,155604.1619,yuan
吨氨成本,4322.337830555556,yuan/t
