source_id,source_name,local_file,url,use_in_q5
P01,发改能源〔2026〕688号：多用户绿电直连,参考资料/01_政策与官方报告/P01_2026_多用户绿电直连发展通知_发改能源688号.html,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202605/t20260520_1405313.html,支持绿色氢氨醇开展绿电直连；提出以荷定源、自发自用比例、上网比例、小时级溯源、接网容量和系统费用分担。
P02,发改能源〔2025〕650号：绿电直连,参考资料/01_政策与官方报告/P02_2025_绿电直连发展通知_发改能源650号.html,https://www.nea.gov.cn/20250530/2d67a6e49c044f2eacabe1fddf48d20f/c.html,三项绿电直连指标、源荷匹配、系统友好性、储能和负荷灵活性、分表计量与费用承担依据。
P03,发改价格〔2025〕136号：新能源上网电价市场化改革,参考资料/01_政策与官方报告/P03_2025_新能源上网电价市场化改革_发改价格136号.html,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202502/t20250209_1396066.html,余电上网价格、市场化交易和新能源消纳责任的价格背景。
P04,发改能源〔2024〕1537号：可再生能源替代行动,参考资料/01_政策与官方报告/P04_2024_可再生能源替代行动指导意见.html,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202410/t20241030_1394119.html,工业绿电直供、源网荷储、低碳氢替代、风光氢氨醇一体化基地和需求侧调节依据。
P05,国能发法改〔2024〕93号：电力领域新型经营主体,参考资料/01_政策与官方报告/P05_2024_电力领域新型经营主体创新发展指导意见.html,https://www.gov.cn/zhengce/zhengceku/202412/content_6991420.htm,虚拟电厂、负荷聚合、智能微电网等新型主体参与调节和市场机制。
P06,国能综通科技〔2025〕91号：能源领域氢能试点,参考资料/01_政策与官方报告/P06_2025_能源领域氢能试点通知_国能综通科技91号.pdf,https://www.nea.gov.cn/20250610/472b12c43f534aab9a95de81034dcd92/20250610472b12c43f534aab9a95de81034dcd92_2288580504e06346d39eb8d268c8e70947.pdf,柔性离网制氢、氢氨燃料供能、氢储能和示范试点依据。
P08,发改能源规〔2021〕280号：源网荷储一体化和多能互补,参考资料/01_政策与官方报告/P08_2021_源网荷储一体化和多能互补指导意见.html,https://www.gov.cn/zhengce/zhengceku/2021-03/06/content_5590895.htm,园区级源网荷储、负荷侧调节、储能参与调峰和多能互补依据。
R01,IEA Global Hydrogen Review 2025,参考资料/01_政策与官方报告/R01_IEA_Global_Hydrogen_Review_2025.pdf,https://iea.blob.core.windows.net/assets/12d92ecc-e960-40f3-aff5-b2de6690ab6b/GlobalHydrogenReview2025.pdf,低排放氢产业、项目落地、政策支持和需求创造的国际背景。
R02,IRENA Innovation Outlook: Renewable Ammonia,参考资料/01_政策与官方报告/R02_IRENA_Innovation_Outlook_Renewable_Ammonia_2022.pdf,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2022/May/IRENA_Innovation_Outlook_Ammonia_2022.pdf,绿氨技术路线、可再生电力制氢制氨和成本构成依据。
R05,EU 2023/1184 RFNBO Delegated Regulation,参考资料/01_政策与官方报告/R05_EU_RFNBO_Delegated_Regulation_2023_1184.pdf,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1184,绿氢绿氨电力来源的额外性、时间匹配和地域匹配国际经验。
